seqID,anomaly
0,0.0
1,1.0
2,0.0
3,0.0
4,1.0
5,1.0
6,0.0
7,0.0
8,1.0
9,0.0
10,0.0
11,0.0
12,1.0
13,1.0
14,1.0
15,0.0
16,1.0
17,1.0
18,0.0
19,0.0
20,0.0
21,1.0
22,0.0
23,0.0
24,1.0
25,1.0
26,0.0
27,1.0
28,1.0
29,0.0
30,0.0
31,0.0
32,1.0
33,0.0
34,0.0
35,0.0
36,1.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,1.0
43,1.0
44,1.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.0
50,0.0
51,1.0
52,0.0
53,1.0
54,1.0
55,1.0
56,0.0
57,1.0
58,1.0
59,1.0
60,0.0
61,1.0
62,0.0
63,1.0
64,0.0
65,0.0
66,1.0
67,1.0
68,0.0
69,1.0
70,0.0
71,0.0
72,0.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,0.0
84,0.0
85,1.0
86,0.0
87,1.0
88,1.0
89,0.0
90,1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,0.0
104,1.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,1.0
112,1.0
113,0.0
114,0.0
115,1.0
116,1.0
117,0.0
118,1.0
119,0.0
120,1.0
121,0.0
122,1.0
123,1.0
124,0.0
125,1.0
126,1.0
127,0.0
128,1.0
129,0.0
130,0.0
131,1.0
132,1.0
133,0.0
134,1.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,1.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,1.0
162,1.0
163,1.0
164,0.0
165,1.0
166,1.0
167,1.0
168,0.0
169,1.0
170,1.0
171,1.0
172,0.0
173,1.0
174,0.0
175,1.0
176,0.0
177,0.0
178,1.0
179,1.0
180,0.0
181,0.0
182,0.0
183,1.0
184,1.0
185,0.0
186,0.0
187,0.0
188,0.0
189,1.0
190,1.0
191,1.0
192,1.0
193,0.0
194,0.0
195,0.0
196,0.0
197,1.0
198,1.0
199,1.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,0.0
213,1.0
214,0.0
215,0.0
216,0.0
217,1.0
218,0.0
219,0.0
220,0.0
221,1.0
222,1.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,1.0
230,0.0
231,0.0
232,1.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.0
238,1.0
239,1.0
240,1.0
241,0.0
242,1.0
243,1.0
244,1.0
245,0.0
246,0.0
247,1.0
248,0.0
249,1.0
250,0.0
251,0.0
252,1.0
253,0.0
254,0.0
255,1.0
256,0.0
257,0.0
258,1.0
259,1.0
260,0.0
261,0.0
262,1.0
263,0.0
264,1.0
265,0.0
266,1.0
267,0.0
268,0.0
269,1.0
270,0.0
271,0.0
272,1.0
273,0.0
274,1.0
275,0.0
276,0.0
277,0.0
278,0.0
279,1.0
280,1.0
281,0.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,1.0
295,0.0
296,0.0
297,0.0
298,1.0
299,0.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,0.0
307,1.0
308,0.0
309,1.0
310,1.0
311,0.0
312,0.0
313,0.0
314,1.0
315,1.0
316,0.0
317,0.0
318,0.0
319,1.0
320,1.0
321,0.0
322,0.0
323,1.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,1.0
330,0.0
331,0.0
332,1.0
333,0.0
334,1.0
335,0.0
336,0.0
337,0.0
338,1.0
339,1.0
340,0.0
341,0.0
342,0.0
343,1.0
344,0.0
345,1.0
346,0.0
347,1.0
348,0.0
349,1.0
350,0.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,0.0
357,0.0
358,1.0
359,1.0
360,0.0
361,0.0
362,1.0
363,0.0
364,0.0
365,0.0
366,1.0
367,0.0
368,1.0
369,1.0
370,1.0
371,1.0
372,0.0
373,0.0
374,0.0
375,1.0
376,1.0
377,1.0
378,0.0
379,0.0
380,1.0
381,1.0
382,0.0
383,0.0
384,1.0
385,0.0
386,0.0
387,0.0
388,0.0
389,1.0
390,0.0
391,0.0
392,1.0
393,0.0
394,1.0
395,1.0
396,1.0
397,0.0
398,0.0
399,0.0
400,1.0
401,1.0
402,1.0
403,1.0
404,1.0
405,0.0
406,1.0
407,1.0
408,1.0
409,0.0
410,1.0
411,1.0
412,0.0
413,0.0
414,1.0
415,0.0
416,0.0
417,1.0
418,0.0
419,0.0
420,1.0
421,0.0
422,0.0
423,1.0
424,1.0
425,0.0
426,0.0
427,1.0
428,0.0
429,0.0
430,0.0
431,1.0
432,0.0
433,1.0
434,0.0
435,0.0
436,1.0
437,0.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,0.0
444,1.0
445,1.0
446,1.0
447,1.0
448,0.0
449,0.0
450,0.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,0.0
457,1.0
458,1.0
459,0.0
460,0.0
461,1.0
462,1.0
463,1.0
464,0.0
465,1.0
466,1.0
467,0.0
468,0.0
469,1.0
470,1.0
471,0.0
472,1.0
473,0.0
474,1.0
475,1.0
476,0.0
477,0.0
478,1.0
479,1.0
480,1.0
481,0.0
482,0.0
483,1.0
484,1.0
485,0.0
486,1.0
487,1.0
488,1.0
489,0.0
490,1.0
491,0.0
492,1.0
493,1.0
494,1.0
495,0.0
496,0.0
497,1.0
498,1.0
499,0.0
500,0.0
501,0.0
502,1.0
503,1.0
504,1.0
505,1.0
506,1.0
507,0.0
508,0.0
509,1.0
510,1.0
511,0.0
512,1.0
513,1.0
514,0.0
515,0.0
516,1.0
517,1.0
518,1.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,1.0
526,1.0
527,1.0
528,0.0
529,0.0
530,1.0
531,0.0
532,0.0
533,0.0
534,1.0
535,1.0
536,1.0
537,1.0
538,1.0
539,0.0
540,1.0
541,1.0
542,1.0
543,1.0
544,0.0
545,1.0
546,1.0
547,1.0
548,0.0
549,1.0
550,0.0
551,1.0
552,0.0
553,1.0
554,1.0
555,1.0
556,0.0
557,1.0
558,0.0
559,0.0
560,1.0
561,0.0
562,0.0
563,1.0
564,0.0
565,0.0
566,0.0
567,1.0
568,1.0
569,1.0
570,0.0
571,1.0
572,0.0
573,0.0
574,0.0
575,0.0
576,1.0
577,1.0
578,1.0
579,1.0
580,1.0
581,1.0
582,1.0
583,1.0
584,0.0
585,1.0
586,0.0
587,1.0
588,0.0
589,1.0
590,1.0
591,0.0
592,0.0
593,1.0
